validated_Mir_IDs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total_Mentions,Average_Mentions
miR-1,,1.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,6.0,13.0,5.0,11.0,6.0,6.0,9.0,4,75.0,4.69
miR-21,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,1.0,3,23.0,1.35
miR-195,,,,,,,,,,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1,13.0,1.62
miR-34a,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0,11.0,0.79
miR-330,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2,10.0,0.83
miR-145,,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0,10.0,0.77
miR-363,,,,,,,,,1.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0,10.0,1.11
miR-139,,,,,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1,9.0,0.69
miR-133b,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1,8.0,0.57
miR-506,,,,,,,,,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0,8.0,0.89
miR-19a,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0,8.0,1.0
miR-193a,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,0,8.0,1.33
miR-27a,,,,,,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8.0,0.73
miR-31,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,8.0,0.62
miR-149,,,,,,,,,,,1.0,1.0,2.0,3.0,0.0,0.0,1,8.0,1.14
miR-132,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.0,1,7.0,1.0
miR-182,,,,,,,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,7.0,0.64
miR-150,,,,,,,,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,7.0,0.7
miR-143,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0,7.0,0.58
miR-140,,,,,,,,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1,7.0,0.7
miR-20a,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,7.0,0.58
miR-148a,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0,7.0,0.5
miR-338,,,,,,,,,,,,3.0,0.0,0.0,1.0,3.0,0,7.0,1.17
miR-873,,,,,,,,,,,1.0,2.0,0.0,0.0,2.0,2.0,0,7.0,1.0
miR-296,,,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0,7.0,0.88
miR-542,,,,,,,,,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,6.0,0.67
miR-497,,,,,,,,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0,6.0,0.6
miR-137,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,6.0,0.43
miR-29a,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,6.0,0.5
miR-485,,,,,,,,,,,1.0,0.0,1.0,3.0,1.0,0.0,0,6.0,0.86
miR-665,,,,,,,,,,,,1.0,0.0,0.0,2.0,3.0,0,6.0,1.0
miR-141,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,6.0,0.5
miR-30a,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0,6.0,0.46
miR-144,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0,6.0,0.43
miR-216b,,,,,,,,,,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0,6.0,0.75
miR-1205,,,,,,,,,,,,,,1.0,4.0,0.0,0,5.0,1.25
miR-874,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,5.0,0.56
miR-10b,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,5.0,0.62
miR-106b,,,,,,,,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,5.0,0.5
miR-135b,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,5.0,0.56
miR-17,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0,5.0,0.38
miR-495,,,,,,,,,,,1.0,0.0,1.0,1.0,2.0,0.0,0,5.0,0.71
miR-122,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,5.0,0.62
miR-22,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,5.0,0.5
miR-375,,,,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,5.0,0.56
miR-200c,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,5.0,0.45
miR-217,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,5.0,0.56
miR-490,,,,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0,4.0,0.44
